"AGE,""TIME"",""GEO"",""SEX"",""REASON"",""UNIT"",""Value"""
"From 20 to 64 years,""2016"",""Greece"",""Males"",""In education or training"",""Percentage of employees with a temporary job"",""10.5"""
"From 20 to 64 years,""2016"",""Greece"",""Males"",""Probationary period"",""Percentage of employees"",""1.0"""
"From 20 to 64 years,""2016"",""Greece"",""Males"",""Probationary period"",""Percentage of employees with a temporary job"",""9.6"""
"From 20 to 64 years,""2016"",""Greece"",""Males"",""No response"",""Percentage of employees"",""0.8"""
"From 20 to 64 years,""2016"",""Greece"",""Males"",""No response"",""Percentage of employees with a temporary job"",""7.7"""
"From 20 to 64 years,""2016"",""Greece"",""Females"",""Could not find permanent job"",""Percentage of employees"",""8.9"""
"From 20 to 64 years,""2016"",""Greece"",""Females"",""Could not find permanent job"",""Percentage of employees with a temporary job"",""72.6"""
"From 20 to 64 years,""2016"",""Greece"",""Females"",""Did not want a permanent job"",""Percentage of employees"",""0.4"""
"From 20 to 64 years,""2016"",""Greece"",""Females"",""Did not want a permanent job"",""Percentage of employees with a temporary job"",""3.1"""
"From 20 to 64 years,""2016"",""Greece"",""Females"",""In education or training"",""Percentage of employees"",""1.2"""
"From 20 to 64 years,""2016"",""Greece"",""Females"",""In education or training"",""Percentage of employees with a temporary job"",""9.5"""
"From 20 to 64 years,""2016"",""Greece"",""Females"",""Probationary period"",""Percentage of employees"",""1.2"""
"From 20 to 64 years,""2016"",""Greece"",""Females"",""Probationary period"",""Percentage of employees with a temporary job"",""9.7"""
"From 20 to 64 years,""2016"",""Greece"",""Females"",""No response"",""Percentage of employees"",""0.6"""
"From 20 to 64 years,""2016"",""Greece"",""Females"",""No response"",""Percentage of employees with a temporary job"",""5.1"""
"From 20 to 64 years,""2016"",""Spain"",""Males"",""Could not find permanent job"",""Percentage of employees"",""22.7"""
"From 20 to 64 years,""2016"",""Spain"",""Males"",""Could not find permanent job"",""Percentage of employees with a temporary job"",""87.8"""
"From 20 to 64 years,""2016"",""Spain"",""Males"",""Did not want a permanent job"",""Percentage of employees"",""0.7"""
"From 20 to 64 years,""2016"",""Spain"",""Males"",""Did not want a permanent job"",""Percentage of employees with a temporary job"",""2.7"""
"From 20 to 64 years,""2016"",""Spain"",""Males"",""In education or training"",""Percentage of employees"",""1.2"""
"From 20 to 64 years,""2016"",""Spain"",""Males"",""In education or training"",""Percentage of employees with a temporary job"",""4.6"""
"From 20 to 64 years,""2016"",""Spain"",""Males"",""Probationary period"",""Percentage of employees"",""0.1"""
"From 20 to 64 years,""2016"",""Spain"",""Males"",""Probationary period"",""Percentage of employees with a temporary job"",""0.5"""
"From 20 to 64 years,""2016"",""Spain"",""Males"",""No response"",""Percentage of employees"",""1.2"""
"From 20 to 64 years,""2016"",""Spain"",""Males"",""No response"",""Percentage of employees with a temporary job"",""4.5"""
"From 20 to 64 years,""2016"",""Spain"",""Females"",""Could not find permanent job"",""Percentage of employees"",""22.8"""
"From 20 to 64 years,""2016"",""Spain"",""Females"",""Could not find permanent job"",""Percentage of employees with a temporary job"",""87.4"""
"From 20 to 64 years,""2016"",""Spain"",""Females"",""Did not want a permanent job"",""Percentage of employees"",""0.6"""
"From 20 to 64 years,""2016"",""Spain"",""Females"",""Did not want a permanent job"",""Percentage of employees with a temporary job"",""2.4"""
"From 20 to 64 years,""2016"",""Spain"",""Females"",""In education or training"",""Percentage of employees"",""1.2"""
"From 20 to 64 years,""2016"",""Spain"",""Females"",""In education or training"",""Percentage of employees with a temporary job"",""4.7"""
"From 20 to 64 years,""2016"",""Spain"",""Females"",""Probationary period"",""Percentage of employees"",""0.2"""
"From 20 to 64 years,""2016"",""Spain"",""Females"",""Probationary period"",""Percentage of employees with a temporary job"",""0.8"""
"From 20 to 64 years,""2016"",""Spain"",""Females"",""No response"",""Percentage of employees"",""1.2"""
"From 20 to 64 years,""2016"",""Spain"",""Females"",""No response"",""Percentage of employees with a temporary job"",""4.6"""
"From 20 to 64 years,""2016"",""France"",""Males"",""Could not find permanent job"",""Percentage of employees"",""8.2"""
"From 20 to 64 years,""2016"",""France"",""Males"",""Could not find permanent job"",""Percentage of employees with a temporary job"",""56.3"""
"From 20 to 64 years,""2016"",""France"",""Males"",""Did not want a permanent job"",""Percentage of employees"",""3.1"""
"From 20 to 64 years,""2016"",""France"",""Males"",""Did not want a permanent job"",""Percentage of employees with a temporary job"",""21.3"""
"From 20 to 64 years,""2016"",""France"",""Males"",""In education or training"",""Percentage of employees"",""1.5"""
"From 20 to 64 years,""2016"",""France"",""Males"",""In education or training"",""Percentage of employees with a temporary job"",""10.3"""
"From 20 to 64 years,""2016"",""France"",""Males"",""Probationary period"",""Percentage of employees"",""0.5"""
"From 20 to 64 years,""2016"",""France"",""Males"",""Probationary period"",""Percentage of employees with a temporary job"",""3.3"""
"From 20 to 64 years,""2016"",""France"",""Males"",""No response"",""Percentage of employees"",""1.3"""
"From 20 to 64 years,""2016"",""France"",""Males"",""No response"",""Percentage of employees with a temporary job"",""8.8"""
"From 20 to 64 years,""2016"",""France"",""Females"",""Could not find permanent job"",""Percentage of employees"",""10.1"""
"From 20 to 64 years,""2016"",""France"",""Females"",""Could not find permanent job"",""Percentage of employees with a temporary job"",""61.6"""
"From 20 to 64 years,""2016"",""France"",""Females"",""Did not want a permanent job"",""Percentage of employees"",""2.8"""
"From 20 to 64 years,""2016"",""France"",""Females"",""Did not want a permanent job"",""Percentage of employees with a temporary job"",""17.1"""
"From 20 to 64 years,""2016"",""France"",""Females"",""In education or training"",""Percentage of employees"",""1.4"""
"From 20 to 64 years,""2016"",""France"",""Females"",""In education or training"",""Percentage of employees with a temporary job"",""8.7"""
"From 20 to 64 years,""2016"",""France"",""Females"",""Probationary period"",""Percentage of employees"",""0.4"""
"From 20 to 64 years,""2016"",""France"",""Females"",""Probationary period"",""Percentage of employees with a temporary job"",""2.4"""
"From 20 to 64 years,""2016"",""France"",""Females"",""No response"",""Percentage of employees"",""1.7"""
"From 20 to 64 years,""2016"",""France"",""Females"",""No response"",""Percentage of employees with a temporary job"",""10.2"""
"From 20 to 64 years,""2016"",""Croatia"",""Males"",""Could not find permanent job"",""Percentage of employees"",""17.4"""
"From 20 to 64 years,""2016"",""Croatia"",""Males"",""Could not find permanent job"",""Percentage of employees with a temporary job"",""83.2"""
"From 20 to 64 years,""2016"",""Croatia"",""Males"",""Did not want a permanent job"",""Percentage of employees"",""0.9"""
"From 20 to 64 years,""2016"",""Croatia"",""Males"",""Did not want a permanent job"",""Percentage of employees with a temporary job"",""4.3"""
"From 20 to 64 years,""2016"",""Croatia"",""Males"",""In education or training"",""Percentage of employees"",""1.7"""
"From 20 to 64 years,""2016"",""Croatia"",""Males"",""In education or training"",""Percentage of employees with a temporary job"",""8.2"""
"From 20 to 64 years,""2016"",""Croatia"",""Males"",""Probationary period"",""Percentage of employees"",""0.9"""
"From 20 to 64 years,""2016"",""Croatia"",""Males"",""Probationary period"",""Percentage of employees with a temporary job"",""4.2"""
"From 20 to 64 years,""2016"",""Croatia"",""Males"",""No response"",""Percentage of employees"","":"""
"From 20 to 64 years,""2016"",""Croatia"",""Males"",""No response"",""Percentage of employees with a temporary job"","":"""
"From 20 to 64 years,""2016"",""Croatia"",""Females"",""Could not find permanent job"",""Percentage of employees"",""17.1"""
"From 20 to 64 years,""2016"",""Croatia"",""Females"",""Could not find permanent job"",""Percentage of employees with a temporary job"",""78.6"""
"From 20 to 64 years,""2016"",""Croatia"",""Females"",""Did not want a permanent job"",""Percentage of employees"",""1.4"""
"From 20 to 64 years,""2016"",""Croatia"",""Females"",""Did not want a permanent job"",""Percentage of employees with a temporary job"",""6.3"""
"From 20 to 64 years,""2016"",""Croatia"",""Females"",""In education or training"",""Percentage of employees"",""2.3"""
"From 20 to 64 years,""2016"",""Croatia"",""Females"",""In education or training"",""Percentage of employees with a temporary job"",""10.5"""
"From 20 to 64 years,""2016"",""Croatia"",""Females"",""Probationary period"",""Percentage of employees"",""0.9"""
"From 20 to 64 years,""2016"",""Croatia"",""Females"",""Probationary period"",""Percentage of employees with a temporary job"",""4.1"""
"From 20 to 64 years,""2016"",""Croatia"",""Females"",""No response"",""Percentage of employees"","":"""
"From 20 to 64 years,""2016"",""Croatia"",""Females"",""No response"",""Percentage of employees with a temporary job"","":"""
"From 20 to 64 years,""2016"",""Italy"",""Males"",""Could not find permanent job"",""Percentage of employees"",""9.4"""
"From 20 to 64 years,""2016"",""Italy"",""Males"",""Could not find permanent job"",""Percentage of employees with a temporary job"",""70.9"""
"From 20 to 64 years,""2016"",""Italy"",""Males"",""Did not want a permanent job"",""Percentage of employees"",""0.3"""
"From 20 to 64 years,""2016"",""Italy"",""Males"",""Did not want a permanent job"",""Percentage of employees with a temporary job"",""1.9"""
"From 20 to 64 years,""2016"",""Italy"",""Males"",""In education or training"",""Percentage of employees"",""2.2"""
"From 20 to 64 years,""2016"",""Italy"",""Males"",""In education or training"",""Percentage of employees with a temporary job"",""17.0"""
"From 20 to 64 years,""2016"",""Italy"",""Males"",""Probationary period"",""Percentage of employees"",""1.3"""
"From 20 to 64 years,""2016"",""Italy"",""Males"",""Probationary period"",""Percentage of employees with a temporary job"",""9.8"""
"From 20 to 64 years,""2016"",""Italy"",""Males"",""No response"",""Percentage of employees"",""0.1"""
"From 20 to 64 years,""2016"",""Italy"",""Males"",""No response"",""Percentage of employees with a temporary job"",""0.5"""
"From 20 to 64 years,""2016"",""Italy"",""Females"",""Could not find permanent job"",""Percentage of employees"",""11.0"""
"From 20 to 64 years,""2016"",""Italy"",""Females"",""Could not find permanent job"",""Percentage of employees with a temporary job"",""76.0"""
"From 20 to 64 years,""2016"",""Italy"",""Females"",""Did not want a permanent job"",""Percentage of employees"",""0.4"""
"From 20 to 64 years,""2016"",""Italy"",""Females"",""Did not want a permanent job"",""Percentage of employees with a temporary job"",""2.5"""
"From 20 to 64 years,""2016"",""Italy"",""Females"",""In education or training"",""Percentage of employees"",""1.9"""
"From 20 to 64 years,""2016"",""Italy"",""Females"",""In education or training"",""Percentage of employees with a temporary job"",""13.4"""
"From 20 to 64 years,""2016"",""Italy"",""Females"",""Probationary period"",""Percentage of employees"",""1.1"""
"From 20 to 64 years,""2016"",""Italy"",""Females"",""Probationary period"",""Percentage of employees with a temporary job"",""7.7"""
"From 20 to 64 years,""2016"",""Italy"",""Females"",""No response"",""Percentage of employees"",""0.1"""
"From 20 to 64 years,""2016"",""Italy"",""Females"",""No response"",""Percentage of employees with a temporary job"",""0.4"""
"From 20 to 64 years,""2016"",""Cyprus"",""Males"",""Could not find permanent job"",""Percentage of employees"",""10.7"""
"From 20 to 64 years,""2016"",""Cyprus"",""Males"",""Could not find permanent job"",""Percentage of employees with a temporary job"",""91.9"""
"From 20 to 64 years,""2016"",""Cyprus"",""Males"",""Did not want a permanent job"",""Percentage of employees"","":"""
"From 20 to 64 years,""2016"",""Cyprus"",""Males"",""Did not want a permanent job"",""Percentage of employees with a temporary job"","":"""
"From 20 to 64 years,""2016"",""Cyprus"",""Males"",""In education or training"",""Percentage of employees"",""0.4"""
"From 20 to 64 years,""2016"",""Cyprus"",""Males"",""In education or training"",""Percentage of employees with a temporary job"",""3.2"""
"From 20 to 64 years,""2016"",""Cyprus"",""Males"",""Probationary period"",""Percentage of employees"",""0.3"""
"From 20 to 64 years,""2016"",""Cyprus"",""Males"",""Probationary period"",""Percentage of employees with a temporary job"",""2.9"""
"From 20 to 64 years,""2016"",""Cyprus"",""Males"",""No response"",""Percentage of employees"","":"""
"From 20 to 64 years,""2016"",""Cyprus"",""Males"",""No response"",""Percentage of employees with a temporary job"","":"""
"From 20 to 64 years,""2016"",""Cyprus"",""Females"",""Could not find permanent job"",""Percentage of employees"",""19.7"""
"From 20 to 64 years,""2016"",""Cyprus"",""Females"",""Could not find permanent job"",""Percentage of employees with a temporary job"",""93.0"""
"From 20 to 64 years,""2016"",""Cyprus"",""Females"",""Did not want a permanent job"",""Percentage of employees"",""0.3"""
"From 20 to 64 years,""2016"",""Cyprus"",""Females"",""Did not want a permanent job"",""Percentage of employees with a temporary job"",""1.6"""
"From 20 to 64 years,""2016"",""Cyprus"",""Females"",""In education or training"",""Percentage of employees"",""0.5"""
"From 20 to 64 years,""2016"",""Cyprus"",""Females"",""In education or training"",""Percentage of employees with a temporary job"",""2.4"""
"From 20 to 64 years,""2016"",""Cyprus"",""Females"",""Probationary period"",""Percentage of employees"",""0.6"""
"From 20 to 64 years,""2016"",""Cyprus"",""Females"",""Probationary period"",""Percentage of employees with a temporary job"",""3.0"""
"From 20 to 64 years,""2016"",""Cyprus"",""Females"",""No response"",""Percentage of employees"","":"""
"From 20 to 64 years,""2016"",""Cyprus"",""Females"",""No response"",""Percentage of employees with a temporary job"","":"""
"From 20 to 64 years,""2016"",""Latvia"",""Males"",""Could not find permanent job"",""Percentage of employees"",""2.3"""
"From 20 to 64 years,""2016"",""Latvia"",""Males"",""Could not find permanent job"",""Percentage of employees with a temporary job"",""51.3"""
"From 20 to 64 years,""2016"",""Latvia"",""Males"",""Did not want a permanent job"",""Percentage of employees"",""1.0"""
"From 20 to 64 years,""2016"",""Latvia"",""Males"",""Did not want a permanent job"",""Percentage of employees with a temporary job"",""21.7"""
"From 20 to 64 years,""2016"",""Latvia"",""Males"",""In education or training"",""Percentage of employees"","":"""
"From 20 to 64 years,""2016"",""Latvia"",""Males"",""In education or training"",""Percentage of employees with a temporary job"","":"""
"From 20 to 64 years,""2016"",""Latvia"",""Males"",""Probationary period"",""Percentage of employees"",""0.9"""
"From 20 to 64 years,""2016"",""Latvia"",""Males"",""Probationary period"",""Percentage of employees with a temporary job"",""21.0"""
"From 20 to 64 years,""2016"",""Latvia"",""Males"",""No response"",""Percentage of employees"","":"""
"From 20 to 64 years,""2016"",""Latvia"",""Males"",""No response"",""Percentage of employees with a temporary job"","":"""
"From 20 to 64 years,""2016"",""Latvia"",""Females"",""Could not find permanent job"",""Percentage of employees"",""1.5"""
"From 20 to 64 years,""2016"",""Latvia"",""Females"",""Could not find permanent job"",""Percentage of employees with a temporary job"",""54.8"""
"From 20 to 64 years,""2016"",""Latvia"",""Females"",""Did not want a permanent job"",""Percentage of employees"",""0.4"""
"From 20 to 64 years,""2016"",""Latvia"",""Females"",""Did not want a permanent job"",""Percentage of employees with a temporary job"",""13.6"""
"From 20 to 64 years,""2016"",""Latvia"",""Females"",""In education or training"",""Percentage of employees"","":"""
"From 20 to 64 years,""2016"",""Latvia"",""Females"",""In education or training"",""Percentage of employees with a temporary job"","":"""
"From 20 to 64 years,""2016"",""Latvia"",""Females"",""Probationary period"",""Percentage of employees"",""0.8"""
"From 20 to 64 years,""2016"",""Latvia"",""Females"",""Probationary period"",""Percentage of employees with a temporary job"",""27.7"""
"From 20 to 64 years,""2016"",""Latvia"",""Females"",""No response"",""Percentage of employees"","":"""
"From 20 to 64 years,""2016"",""Latvia"",""Females"",""No response"",""Percentage of employees with a temporary job"","":"""
"From 20 to 64 years,""2016"",""Lithuania"",""Males"",""Could not find permanent job"",""Percentage of employees"",""1.5"""
"From 20 to 64 years,""2016"",""Lithuania"",""Males"",""Could not find permanent job"",""Percentage of employees with a temporary job"",""74.0"""
"From 20 to 64 years,""2016"",""Lithuania"",""Males"",""Did not want a permanent job"",""Percentage of employees"","":"""
"From 20 to 64 years,""2016"",""Lithuania"",""Males"",""Did not want a permanent job"",""Percentage of employees with a temporary job"","":"""
"From 20 to 64 years,""2016"",""Lithuania"",""Males"",""In education or training"",""Percentage of employees"","":"""
"From 20 to 64 years,""2016"",""Lithuania"",""Males"",""In education or training"",""Percentage of employees with a temporary job"","":"""
"From 20 to 64 years,""2016"",""Lithuania"",""Males"",""Probationary period"",""Percentage of employees"",""0.3"""
"From 20 to 64 years,""2016"",""Lithuania"",""Males"",""Probationary period"",""Percentage of employees with a temporary job"",""14.1"""
"From 20 to 64 years,""2016"",""Lithuania"",""Males"",""No response"",""Percentage of employees"","":"""
"From 20 to 64 years,""2016"",""Lithuania"",""Males"",""No response"",""Percentage of employees with a temporary job"","":"""
"From 20 to 64 years,""2016"",""Lithuania"",""Females"",""Could not find permanent job"",""Percentage of employees"",""0.9"""
"From 20 to 64 years,""2016"",""Lithuania"",""Females"",""Could not find permanent job"",""Percentage of employees with a temporary job"",""57.9"""
"From 20 to 64 years,""2016"",""Lithuania"",""Females"",""Did not want a permanent job"",""Percentage of employees"","":"""
"From 20 to 64 years,""2016"",""Lithuania"",""Females"",""Did not want a permanent job"",""Percentage of employees with a temporary job"","":"""
"From 20 to 64 years,""2016"",""Lithuania"",""Females"",""In education or training"",""Percentage of employees"","":"""
"From 20 to 64 years,""2016"",""Lithuania"",""Females"",""In education or training"",""Percentage of employees with a temporary job"","":"""
"From 20 to 64 years,""2016"",""Lithuania"",""Females"",""Probationary period"",""Percentage of employees"",""0.4"""
"From 20 to 64 years,""2016"",""Lithuania"",""Females"",""Probationary period"",""Percentage of employees with a temporary job"",""24.8"""
"From 20 to 64 years,""2016"",""Lithuania"",""Females"",""No response"",""Percentage of employees"","":"""
"From 20 to 64 years,""2016"",""Lithuania"",""Females"",""No response"",""Percentage of employees with a temporary job"","":"""
"From 20 to 64 years,""2016"",""Luxembourg"",""Males"",""Could not find permanent job"",""Percentage of employees"",""3.2"""
"From 20 to 64 years,""2016"",""Luxembourg"",""Males"",""Could not find permanent job"",""Percentage of employees with a temporary job"",""40.3"""
"From 20 to 64 years,""2016"",""Luxembourg"",""Males"",""Did not want a permanent job"",""Percentage of employees"",""1.1"""
"From 20 to 64 years,""2016"",""Luxembourg"",""Males"",""Did not want a permanent job"",""Percentage of employees with a temporary job"",""14.3"""
"From 20 to 64 years,""2016"",""Luxembourg"",""Males"",""In education or training"",""Percentage of employees"","":"""
"From 20 to 64 years,""2016"",""Luxembourg"",""Males"",""In education or training"",""Percentage of employees with a temporary job"","":"""
"From 20 to 64 years,""2016"",""Luxembourg"",""Males"",""Probationary period"",""Percentage of employees"",""1.4"""
"From 20 to 64 years,""2016"",""Luxembourg"",""Males"",""Probationary period"",""Percentage of employees with a temporary job"",""17.9"""
"From 20 to 64 years,""2016"",""Luxembourg"",""Males"",""No response"",""Percentage of employees"",""1.8"""
"From 20 to 64 years,""2016"",""Luxembourg"",""Males"",""No response"",""Percentage of employees with a temporary job"",""22.5"""
"From 20 to 64 years,""2016"",""Luxembourg"",""Females"",""Could not find permanent job"",""Percentage of employees"",""4.7"""
"From 20 to 64 years,""2016"",""Luxembourg"",""Females"",""Could not find permanent job"",""Percentage of employees with a temporary job"",""56.0"""
"From 20 to 64 years,""2016"",""Luxembourg"",""Females"",""Did not want a permanent job"",""Percentage of employees"",""1.4"""
"From 20 to 64 years,""2016"",""Luxembourg"",""Females"",""Did not want a permanent job"",""Percentage of employees with a temporary job"",""16.3"""
"From 20 to 64 years,""2016"",""Luxembourg"",""Females"",""In education or training"",""Percentage of employees"","":"""
"From 20 to 64 years,""2016"",""Luxembourg"",""Females"",""In education or training"",""Percentage of employees with a temporary job"","":"""
"From 20 to 64 years,""2016"",""Luxembourg"",""Females"",""Probationary period"",""Percentage of employees"",""0.8"""
"From 20 to 64 years,""2016"",""Luxembourg"",""Females"",""Probationary period"",""Percentage of employees with a temporary job"",""9.0"""
"From 20 to 64 years,""2016"",""Luxembourg"",""Females"",""No response"",""Percentage of employees"",""1.2"""
"From 20 to 64 years,""2016"",""Luxembourg"",""Females"",""No response"",""Percentage of employees with a temporary job"",""14.7"""
"From 20 to 64 years,""2016"",""Hungary"",""Males"",""Could not find permanent job"",""Percentage of employees"",""7.3"""
"From 20 to 64 years,""2016"",""Hungary"",""Males"",""Could not find permanent job"",""Percentage of employees with a temporary job"",""79.9"""
"From 20 to 64 years,""2016"",""Hungary"",""Males"",""Did not want a permanent job"",""Percentage of employees"",""0.9"""
"From 20 to 64 years,""2016"",""Hungary"",""Males"",""Did not want a permanent job"",""Percentage of employees with a temporary job"",""9.6"""
"From 20 to 64 years,""2016"",""Hungary"",""Males"",""In education or training"",""Percentage of employees"","":"""
"From 20 to 64 years,""2016"",""Hungary"",""Males"",""In education or training"",""Percentage of employees with a temporary job"","":"""
"From 20 to 64 years,""2016"",""Hungary"",""Males"",""Probationary period"",""Percentage of employees"",""0.9"""
"From 20 to 64 years,""2016"",""Hungary"",""Males"",""Probationary period"",""Percentage of employees with a temporary job"",""9.9"""
"From 20 to 64 years,""2016"",""Hungary"",""Males"",""No response"",""Percentage of employees"","":"""
"From 20 to 64 years,""2016"",""Hungary"",""Males"",""No response"",""Percentage of employees with a temporary job"","":"""
"From 20 to 64 years,""2016"",""Hungary"",""Females"",""Could not find permanent job"",""Percentage of employees"",""8.1"""
"From 20 to 64 years,""2016"",""Hungary"",""Females"",""Could not find permanent job"",""Percentage of employees with a temporary job"",""81.4"""
"From 20 to 64 years,""2016"",""Hungary"",""Females"",""Did not want a permanent job"",""Percentage of employees"",""0.9"""
"From 20 to 64 years,""2016"",""Hungary"",""Females"",""Did not want a permanent job"",""Percentage of employees with a temporary job"",""8.8"""
"From 20 to 64 years,""2016"",""Hungary"",""Females"",""In education or training"",""Percentage of employees"","":"""
"From 20 to 64 years,""2016"",""Hungary"",""Females"",""In education or training"",""Percentage of employees with a temporary job"","":"""
"From 20 to 64 years,""2016"",""Hungary"",""Females"",""Probationary period"",""Percentage of employees"",""0.9"""
"From 20 to 64 years,""2016"",""Hungary"",""Females"",""Probationary period"",""Percentage of employees with a temporary job"",""9.2"""
"From 20 to 64 years,""2016"",""Hungary"",""Females"",""No response"",""Percentage of employees"","":"""
"From 20 to 64 years,""2016"",""Hungary"",""Females"",""No response"",""Percentage of employees with a temporary job"","":"""
"From 20 to 64 years,""2016"",""Malta"",""Males"",""Could not find permanent job"",""Percentage of employees"",""3.3"""
"From 20 to 64 years,""2016"",""Malta"",""Males"",""Could not find permanent job"",""Percentage of employees with a temporary job"",""53.6"""
"From 20 to 64 years,""2016"",""Malta"",""Males"",""Did not want a permanent job"",""Percentage of employees"",""0.8"""
"From 20 to 64 years,""2016"",""Malta"",""Males"",""Did not want a permanent job"",""Percentage of employees with a temporary job"",""12.7"""
"From 20 to 64 years,""2016"",""Malta"",""Males"",""In education or training"",""Percentage of employees"",""0.4"""
"From 20 to 64 years,""2016"",""Malta"",""Males"",""In education or training"",""Percentage of employees with a temporary job"",""7.1"""
"From 20 to 64 years,""2016"",""Malta"",""Males"",""Probationary period"",""Percentage of employees"",""1.6"""
"From 20 to 64 years,""2016"",""Malta"",""Males"",""Probationary period"",""Percentage of employees with a temporary job"",""26.6"""
"From 20 to 64 years,""2016"",""Malta"",""Males"",""No response"",""Percentage of employees"","":"""
"From 20 to 64 years,""2016"",""Malta"",""Males"",""No response"",""Percentage of employees with a temporary job"","":"""
"From 20 to 64 years,""2016"",""Malta"",""Females"",""Could not find permanent job"",""Percentage of employees"",""3.5"""
"From 20 to 64 years,""2016"",""Malta"",""Females"",""Could not find permanent job"",""Percentage of employees with a temporary job"",""42.9"""
"From 20 to 64 years,""2016"",""Malta"",""Females"",""Did not want a permanent job"",""Percentage of employees"",""1.7"""
"From 20 to 64 years,""2016"",""Malta"",""Females"",""Did not want a permanent job"",""Percentage of employees with a temporary job"",""21.3"""
"From 20 to 64 years,""2016"",""Malta"",""Females"",""In education or training"",""Percentage of employees"",""0.9"""
"From 20 to 64 years,""2016"",""Malta"",""Females"",""In education or training"",""Percentage of employees with a temporary job"",""11.0"""
"From 20 to 64 years,""2016"",""Malta"",""Females"",""Probationary period"",""Percentage of employees"",""2.0"""
"From 20 to 64 years,""2016"",""Malta"",""Females"",""Probationary period"",""Percentage of employees with a temporary job"",""24.8"""
"From 20 to 64 years,""2016"",""Malta"",""Females"",""No response"",""Percentage of employees"","":"""
"From 20 to 64 years,""2016"",""Malta"",""Females"",""No response"",""Percentage of employees with a temporary job"","":"""
"From 20 to 64 years,""2016"",""Netherlands"",""Males"",""Could not find permanent job"",""Percentage of employees"",""7.3"""
"From 20 to 64 years,""2016"",""Netherlands"",""Males"",""Could not find permanent job"",""Percentage of employees with a temporary job"",""44.8"""
"From 20 to 64 years,""2016"",""Netherlands"",""Males"",""Did not want a permanent job"",""Percentage of employees"",""1.7"""
"From 20 to 64 years,""2016"",""Netherlands"",""Males"",""Did not want a permanent job"",""Percentage of employees with a temporary job"",""10.2"""
"From 20 to 64 years,""2016"",""Netherlands"",""Males"",""In education or training"",""Percentage of employees"",""0.3"""
"From 20 to 64 years,""2016"",""Netherlands"",""Males"",""In education or training"",""Percentage of employees with a temporary job"",""1.7"""
"From 20 to 64 years,""2016"",""Netherlands"",""Males"",""Probationary period"",""Percentage of employees"",""4.8"""
"From 20 to 64 years,""2016"",""Netherlands"",""Males"",""Probationary period"",""Percentage of employees with a temporary job"",""29.6"""
"From 20 to 64 years,""2016"",""Netherlands"",""Males"",""No response"",""Percentage of employees"",""2.2"""
"From 20 to 64 years,""2016"",""Netherlands"",""Males"",""No response"",""Percentage of employees with a temporary job"",""13.7"""
"From 20 to 64 years,""2016"",""Netherlands"",""Females"",""Could not find permanent job"",""Percentage of employees"",""7.8"""
"From 20 to 64 years,""2016"",""Netherlands"",""Females"",""Could not find permanent job"",""Percentage of employees with a temporary job"",""42.0"""
"From 20 to 64 years,""2016"",""Netherlands"",""Females"",""Did not want a permanent job"",""Percentage of employees"",""1.8"""
"From 20 to 64 years,""2016"",""Netherlands"",""Females"",""Did not want a permanent job"",""Percentage of employees with a temporary job"",""9.4"""
"From 20 to 64 years,""2016"",""Netherlands"",""Females"",""In education or training"",""Percentage of employees"",""0.3"""
"From 20 to 64 years,""2016"",""Netherlands"",""Females"",""In education or training"",""Percentage of employees with a temporary job"",""1.9"""
"From 20 to 64 years,""2016"",""Netherlands"",""Females"",""Probationary period"",""Percentage of employees"",""5.0"""
"From 20 to 64 years,""2016"",""Netherlands"",""Females"",""Probationary period"",""Percentage of employees with a temporary job"",""26.7"""
"From 20 to 64 years,""2016"",""Netherlands"",""Females"",""No response"",""Percentage of employees"",""3.7"""
"From 20 to 64 years,""2016"",""Netherlands"",""Females"",""No response"",""Percentage of employees with a temporary job"",""20.0"""
"From 20 to 64 years,""2016"",""Austria"",""Males"",""Could not find permanent job"",""Percentage of employees"",""0.7"""
"From 20 to 64 years,""2016"",""Austria"",""Males"",""Could not find permanent job"",""Percentage of employees with a temporary job"",""12.3"""
"From 20 to 64 years,""2016"",""Austria"",""Males"",""Did not want a permanent job"",""Percentage of employees"",""2.8"""
"From 20 to 64 years,""2016"",""Austria"",""Males"",""Did not want a permanent job"",""Percentage of employees with a temporary job"",""49.2"""
"From 20 to 64 years,""2016"",""Austria"",""Males"",""In education or training"",""Percentage of employees"",""1.3"""
"From 20 to 64 years,""2016"",""Austria"",""Males"",""In education or training"",""Percentage of employees with a temporary job"",""23.7"""
"From 20 to 64 years,""2016"",""Austria"",""Males"",""Probationary period"",""Percentage of employees"",""0.8"""
"From 20 to 64 years,""2016"",""Austria"",""Males"",""Probationary period"",""Percentage of employees with a temporary job"",""14.8"""
"From 20 to 64 years,""2016"",""Austria"",""Males"",""No response"",""Percentage of employees"","":"""
"From 20 to 64 years,""2016"",""Austria"",""Males"",""No response"",""Percentage of employees with a temporary job"","":"""
"From 20 to 64 years,""2016"",""Austria"",""Females"",""Could not find permanent job"",""Percentage of employees"",""1.0"""
"From 20 to 64 years,""2016"",""Austria"",""Females"",""Could not find permanent job"",""Percentage of employees with a temporary job"",""14.0"""
"From 20 to 64 years,""2016"",""Austria"",""Females"",""Did not want a permanent job"",""Percentage of employees"",""3.1"""
"From 20 to 64 years,""2016"",""Austria"",""Females"",""Did not want a permanent job"",""Percentage of employees with a temporary job"",""44.1"""
"From 20 to 64 years,""2016"",""Austria"",""Females"",""In education or training"",""Percentage of employees"",""1.7"""
